Call_ID,Fecha,Agente_ID,Centro_Costo,Canal,Tiempo_Espera_Seg,Tiempo_Atencion_Seg,Tiempo_Total_Seg,Abandonada,Resuelta_Primer_Contacto
C00001,2025-03-27 01:00:00,A014,Banca_Personal,Inbound,23,216,239,0,0
C00002,2025-02-26 19:00:00,A019,Créditos,Outbound,7,323,330,0,0
C00003,2025-02-27 22:00:00,A016,Créditos,Inbound,14,323,337,0,0
C00004,2025-03-03 14:00:00,A010,Tarjetas,Inbound,3,271,274,0,1
C00005,2025-02-02 07:00:00,A001,Tarjetas,Inbound,33,212,245,0,1
C00006,2025-01-02 10:00:00,A005,Soporte_Digital,Inbound,29,330,359,0,1
C00007,2025-03-23 11:00:00,A003,Créditos,Inbound,24,353,377,0,1
C00008,2025-03-08 01:00:00,A017,Créditos,Inbound,11,329,340,1,1
C00009,2025-02-12 13:00:00,A018,Créditos,Inbound,9,291,300,0,0
C00010,2025-02-17 01:00:00,A021,Soporte_Digital,Inbound,28,231,259,0,1
C00011,2025-03-04 12:00:00,A019,Soporte_Digital,Inbound,28,262,290,0,1
C00012,2025-01-30 06:00:00,A022,Créditos,Inbound,39,327,366,0,0
C00013,2025-03-07 19:00:00,A025,Créditos,Outbound,28,252,280,0,1
C00014,2025-01-07 17:00:00,A022,Soporte_Digital,Inbound,37,242,279,0,1
C00015,2025-01-09 09:00:00,A018,Créditos,Inbound,28,213,241,0,1
C00016,2025-03-24 13:00:00,A016,Banca_Personal,Inbound,49,332,381,0,1
C00017,2025-02-11 11:00:00,A002,Banca_Personal,Outbound,17,330,347,0,1
C00018,2025-02-03 23:00:00,A015,Soporte_Digital,Inbound,28,369,397,0,0
C00019,2025-01-19 23:00:00,A013,Banca_Personal,Inbound,35,171,206,0,1
C00020,2025-02-23 03:00:00,A013,Tarjetas,Inbound,23,370,393,0,0
C00021,2025-02-12 08:00:00,A016,Créditos,Inbound,2,366,368,0,1
