Encuesta_ID,Call_ID,Fecha_Encuesta,Score_NPS,Tipo_Cliente
NPS00001,C11500,2025-02-24 23:00:00,8,Recurrente
NPS00002,C06476,2025-02-03 00:00:00,9,Nuevo
NPS00003,C13168,2025-03-23 12:00:00,8,Premium
NPS00004,C00863,2025-02-09 10:00:00,7,Recurrente
NPS00005,C05971,2025-02-06 09:00:00,7,Premium
NPS00006,C06707,2025-01-06 07:00:00,9,Premium
NPS00007,C03018,2025-01-25 05:00:00,9,Nuevo
NPS00008,C03782,2025-03-30 18:00:00,6,Premium
NPS00009,C03899,2025-01-01 21:00:00,9,Nuevo
NPS00010,C02251,2025-03-05 18:00:00,6,Premium
NPS00011,C00543,2025-01-25 01:00:00,7,Recurrente
NPS00012,C04352,2025-03-10 20:00:00,6,Premium
NPS00013,C12808,2025-03-06 16:00:00,9,Recurrente
NPS00014,C06632,2025-03-29 06:00:00,10,Premium
NPS00015,C06706,2025-02-14 11:00:00,8,Premium
NPS00016,C06979,2025-01-08 23:00:00,9,Recurrente
NPS00017,C07400,2025-03-17 06:00:00,7,Premium
NPS00018,C11120,2025-02-20 19:00:00,8,Recurrente
NPS00019,C12666,2025-01-10 06:00:00,8,Recurrente
NPS00020,C05305,2025-01-12 17:00:00,2,Recurrente
NPS00021,C02313,2025-03-02 07:00:00,9,Nuevo
NPS00022,C07041,2025-01-23 16:00:00,6,Recurrente
NPS00023,C01890,2025-01-27 22:00:00,9,Nuevo
NPS00024,C08992,2025-02-10 07:00:00,7,Recurrente
NPS00025,C00170,2025-01-05 07:00:00,10,Recurrente
NPS00026,C01796,2025-01-21 16:00:00,6,Premium
NPS00027,C03976,2025-03-07 20:00:00,6,Recurrente
NPS00028,C06821,2025-01-27 07:00:00,6,Nuevo
NPS00029,C07827,2025-03-12 02:00:00,8,Nuevo
NPS00030,C11810,2025-02-01 20:00:00,9,Nuevo
NPS00031,C01040,2025-01-08 14:00:00,9,Recurrente
NPS00032,C02849,2025-01-25 03:00:00,7,Nuevo
NPS00033,C03372,2025-01-02 15:00:00,9,Recurrente
NPS00034,C08830,2025-03-01 11:00:00,6,Recurrente
NPS00035,C10350,2025-01-14 21:00:00,7,Premium
NPS00036,C08798,2025-01-09 14:00:00,7,Nuevo
NPS00037,C00765,2025-01-22 12:00:00,10,Premium
NPS00038,C01594,2025-03-11 04:00:00,9,Premium
NPS00039,C14233,2025-03-16 22:00:00,6,Nuevo
NPS00040,C05873,2025-02-16 22:00:00,6,Premium
NPS00041,C09941,2025-03-03 05:00:00,9,Nuevo
NPS00042,C05170,2025-02-07 00:00:00,9,Recurrente
NPS00043,C10910,2025-02-14 05:00:00,6,Recurrente
NPS00044,C04123,2025-02-27 22:00:00,10,Recurrente
NPS00045,C12949,2025-01-17 19:00:00,10,Nuevo
NPS00046,C14483,2025-02-12 03:00:00,2,Nuevo
NPS00047,C00150,2025-01-11 22:00:00,9,Nuevo
NPS00048,C11737,2025-02-11 00:00:00,0,Recurrente
NPS00049,C00388,2025-02-18 15:00:00,7,Premium
NPS00050,C03947,2025-03-29 03:00:00,8,Premium
NPS00051,C13403,2025-03-10 20:00:00,5,Recurrente
NPS00052,C01374,2025-02-07 14:00:00,10,Premium
NPS00053,C02885,2025-03-16 11:00:00,3,Premium
NPS00054,C14043,2025-02-26 14:00:00,9,Nuevo
NPS00055,C11361,2025-03-16 22:00:00,8,Nuevo
